athlete_certification_key,person_key,club_key,certification_type_key,person_type_key,has_certificate
6702,13445,1,1,1,1
6703,13447,1,1,1,1
6704,13448,1,1,1,1
6705,13450,1,1,1,1
6706,13453,1,1,1,1
6707,13454,1,1,1,1
6708,13455,1,1,1,1
6709,13456,1,1,1,1
6710,13458,1,1,1,1
6711,13459,1,1,1,1
6712,13460,1,1,1,1
6713,13464,1,1,1,1
6714,13469,1,1,1,1
6715,13471,1,1,1,1
6716,13478,1,1,1,1
6717,13481,1,1,1,1
6718,13482,1,1,1,1
6719,13484,1,1,1,1
6720,13488,1,1,1,1
6721,13490,1,1,1,1
6722,13491,1,1,1,1
6723,13493,1,1,1,1
6724,13494,1,1,1,1
6725,13495,1,1,1,1
6726,13500,1,1,1,1
6727,13502,1,1,1,1
6728,13503,1,1,1,1
6729,13507,1,1,1,1
6730,13510,1,1,1,1
6731,13511,1,1,1,1
6732,13513,1,1,1,1
6733,13517,1,1,1,1
6734,13520,1,1,1,1
6735,13521,1,1,1,1
6736,13522,1,1,1,1
6737,13524,1,1,1,1
6738,13529,1,1,1,1
6739,13532,1,1,1,1
6740,13533,1,1,1,1
6741,13534,1,1,1,1
6742,13535,1,1,1,1
6743,13536,1,1,1,1
6744,13537,1,1,1,1
6745,13540,1,1,1,1
6746,13546,1,1,1,1
6747,13547,1,1,1,1
6748,13550,1,1,1,1
6749,13553,1,1,1,1
6750,13554,1,1,1,1
6751,13559,1,1,1,1
6752,13560,1,1,1,1
6753,13564,1,1,1,1
6754,13567,1,1,1,1
6755,13568,1,1,1,1
6756,13570,1,1,1,1
6757,13571,1,1,1,1
6758,13577,1,1,1,1
6759,13579,1,1,1,1
6760,13581,1,1,1,1
6761,13582,1,1,1,1
6762,13584,1,1,1,1
6763,13585,1,1,1,1
6764,13587,1,1,1,1
6765,13588,1,1,1,1
6766,13595,1,1,1,1
6767,13599,1,1,1,1
6768,13601,1,1,1,1
6769,13603,1,1,1,1
6770,13606,1,1,1,1
6771,13610,1,1,1,1
6772,13611,1,1,1,1
6773,13615,1,1,1,1
